id,Affiliation,Abbreviation,University,City
1,Université Abdelmalek Essaadi,UAE,Université Abdelmalek Essaadi,Tétouan
2,Faculté Oussoul Eddine ,FOE ,Université Abdelmalek Essaadi,Tétouan
3,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Abdelmalek Essaadi,Tanger
4,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Abdelmalek Essaadi,Tétouan
5,Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Abdelmalek Essaadi,Tétouan
6,Faculté des Sciences ,FS ,Université Abdelmalek Essaadi,Tétouan
7,Faculté Polydisciplinaire ,FP ,Université Abdelmalek Essaadi,Larache
8,Faculté Polydisciplinaire ,FP ,Université Abdelmalek Essaadi,Kssar El Kébir
9,Faculté des Sciences et Techniques ,FST ,Université Abdelmalek Essaadi,Tanger
10,Faculté des Sciences et Techniques ,FST ,Université Abdelmalek Essaadi,Al Hoceima
11,Faculté de Médecine et Pharmacie ,FMP ,Université Abdelmalek Essaadi,Tanger
12,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Abdelmalek Essaadi,Tanger
13,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Abdelmalek Essaadi,Tétouan
14,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Abdelmalek Essaadi,Al Hoceima
15,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Abdelmalek Essaadi,Tanger
16,Ecole Normale Supérieure ,ENS ,Université Abdelmalek Essaadi,Tétouan
17,Ecole Supérieure Roi Fahd de Traduction ,ESRFT ,Université Abdelmalek Essaadi,Tanger
18,Université Cadi Ayyad,UCA,Université Cadi Ayyad, Marrakech
19,Faculté de la Langue Arabe ,FLA ,Université Cadi Ayyad,Marrakech
20,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Cadi Ayyad,Marrakech
21,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Cadi Ayyad,EL Kelaâ des Sraghna
22,Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Cadi Ayyad,Marrakech
23,Faculté des Sciences Semlalia ,FS Semlalia ,Université Cadi Ayyad,Marrakech
24,Faculté Polydisciplinaire ,FP ,Université Cadi Ayyad,Safi
25,Faculté des Sciences et Techniques Guéliz ,FST Guéliz ,Université Cadi Ayyad,Marrakech
26,Faculté de Médecine et de Pharmacie ,FMP ,Université Cadi Ayyad,Marrakech
27,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Cadi Ayyad,Marrakech
28,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Cadi Ayyad,Safi
29,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Cadi Ayyad,Marrakech
30,Ecole Normale Supérieure ,ENS ,Université Cadi Ayyad,Marrakech
31,Ecole Supérieure de Technologie ,EST ,Université Cadi Ayyad,Safi
32,Ecole Supérieure de Technologie ,EST ,Université Cadi Ayyad,Essaouira
33,Ecole Supérieure de Technologie ,EST ,Université Cadi Ayyad,EL Kelaâ des Sraghna
34,Université Chouaib Doukkali,UCD,Université Chouaib Doukkali,El Jadida
35,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Chouaib Doukkali,El Jadida
36,Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Chouaib Doukkali,El Jadida
37,Faculté des Sciences ,FS ,Université Chouaib Doukkali,El Jadida
38,Faculté Polydisciplinaire ,FP ,Université Chouaib Doukkali,Sidi Bennour
39,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Chouaib Doukkali,El Jadida
40,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Chouaib Doukkali,El Jadida
41,Ecole Supérieure de l'Education et de la Formation ,ESEF ,Université Chouaib Doukkali,El Jadida
42,Ecole Supérieure de Technologie ,EST ,Université Chouaib Doukkali,Sidi Bennour
43,Université Hassan 1er,UH1,Université Hassan 1er,Settat
44,Faculté des Sciences Juridiques et Politiques ,FSJP ,Université Hassan 1er,Settat
45,Faculté d'Economie et de Gestion ,FEG ,Université Hassan 1er,Settat
46,"Faculté des Langues, Arts et Science humaines ",FLASH ,Université Hassan 1er,Settat
