Affiliation,Abbreviation,University,City
Université Hassan 1er,,Université Hassan 1er,Settat
Faculté des Sciences Juridiques et Politiques ,FSJP ,Université Hassan 1er,Settat
Faculté d'Economie et de Gestion ,FEG ,Université Hassan 1er,Settat
"Faculté des Langues, Arts et Science humaines ",FLASH ,Université Hassan 1er,Settat
Faculté des Sciences et Techniques ,FST ,Université Hassan 1er,Settat
Ecole Nationale des Sciences Appliquées ,ENSA ,Université Hassan 1er,Berrechid
Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Hassan 1er,Settat
Ecole Supérieure de l'Education et de la Formation ,ESEF ,Université Hassan 1er,Berrechid
Institut Supérieur des Sciences de la Santé ,ISSS ,Université Hassan 1er,Settat
Institut des Sciences du Sport ,ISS ,Université Hassan 1er,Settat
