Affiliation,Abbreviation,University,City
Université Hassan II ,,Université Hassan II ,Casablanca 
"Faculté des Sciences Juridiques, Economiques et Sociales Aïn Chock ",FSJES Aïn Chock ,Université Hassan II,Casablanca
"Faculté des Sciences Juridiques, Economiques et Sociales Aïn Sebaa ",FSJES Aïn Sebaa ,Université Hassan II,Casablanca
"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Hassan II,Mohammedia
Faculté des Lettres et des Sciences Humaines Aïn Chock ,FLSH Aïn Chock ,Université Hassan II,Casablanca
Faculté des Lettres et des Sciences Humaines Ben M'Sick ,FLSH Ben M'Sick ,Université Hassan II,Casablanca
Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Hassan II,Mohammedia
Faculté des Sciences Aïn Chock ,FS Aïn Chock ,Université Hassan II,Casablanca
Faculté des Sciences Ben M'Sick ,FS Ben M'Sick ,Université Hassan II,Casablanca
Faculté des Sciences et Techniques ,FST ,Université Hassan II,Mohammedia
Faculté de Médecine et de Pharmacie ,FMP ,Université Hassan II,Casablanca
Faculté de Médecine Dentaire ,FMD ,Université Hassan II,Casablanca
Ecole Nationale Supérieure d'Electricité et de Mécanique ,ENSEM ,Université Hassan II,Casablanca
Ecole Nationale Supérieure des Arts et Métiers ,ENSAM ,Université Hassan II,Casablanca
Ecole Nationale Supérieure d'Art et Design ,ENSAD ,Université Hassan II,Casablanca
Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Hassan II,Casablanca
Ecole Normale Supérieure ,ENS ,Université Hassan II,Casablanca
Ecole Normale Supérieure de l'Enseignement Technique ,ENSET ,Université Hassan II,Mohammedia
Ecole Supérieure de Technologie ,EST ,Université Hassan II,Casablanca
