Affiliation,Abbreviation,University,City
Université Ibn Zohr,,Université Ibn Zohr,Agadir
Faculté Chariâa ,Faculté Chariâa ,Université Ibn Zohr,Agadir
"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Ibn Zohr,Agadir
"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Ibn Zohr,Ait Melloul
Faculté d'Economie et de Gestion ,FEG ,Université Ibn Zohr,Guelmim
Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Ibn Zohr,Agadir
"Faculté des Langues, Arts et Science humaines ",FLASH ,Université Ibn Zohr,Ait Melloul
Faculté des Sciences ,FS ,Université Ibn Zohr,Agadir
Faculté des Sciences Appliquées ,FSA ,Université Ibn Zohr,Ait Melloul
Faculté Polydisciplinaire ,FP ,Université Ibn Zohr,Ouarzazate
Faculté Polydisciplinaire ,FP ,Université Ibn Zohr,Taroudant
Faculté Polydisciplinaire ,FP ,Université Ibn Zohr,Es-Semara
Faculté de Médecine et de Pharmacie ,FMP ,Université Ibn Zohr,Agadir
Faculté de Médecine et de Pharmacie ,FMP ,Université Ibn Zohr,Laayoune
Faculté de Médecine et de Pharmacie ,FMP ,Université Ibn Zohr,Guelmim
Ecole Nationale des Sciences Appliquées ,ENSA ,Université Ibn Zohr,Agadir
Ecole Nationale Supérieure de l'Intelligence Artificielle et Sciences des Données ,ENSIASD ,Université Ibn Zohr,Taroudant
Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Ibn Zohr,Agadir
Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Ibn Zohr,Dakhla
Ecole Supérieure de l'Education et de la Formation ,ESEF ,Université Ibn Zohr,Agadir
Ecole Supérieure de Technologie ,EST ,Université Ibn Zohr,Agadir
Ecole Supérieure de Technologie ,EST ,Université Ibn Zohr,Guelmim
Ecole Supérieure de Technologie ,EST ,Université Ibn Zohr,Laayoune
Ecole Supérieure de Technologie ,EST ,Université Ibn Zohr,Dakhla
