Affiliation,Abbreviation,University,City
Université Mohammed Premier,,Université Mohammed Premier,Oujda
"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Mohammed Premier,Oujda
Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Mohammed Premier,Oujda
Faculté des Sciences ,FS ,Université Mohammed Premier,Oujda
Faculté Polydisciplinaire ,FP ,Université Mohammed Premier,Nador
Faculté de Médecine et de Pharmacie ,FMP ,Université Mohammed Premier,Oujda
Ecole Nationale des Sciences Appliquées ,ENSA ,Université Mohammed Premier,Oujda
Ecole Nationale Supérieure de l'Intelligence Artificielle et du Digital ,ENSIAD ,Université Mohammed Premier,Berkane
Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Mohammed Premier,Oujda
Ecole Supérieure de l'Education et de la Formation ,ESEF ,Université Mohammed Premier,Oujda
Ecole Supérieure de Technologie ,EST ,Université Mohammed Premier,Oujda
Ecole Supérieure de Technologie ,EST ,Université Mohammed Premier,Nador
