Affiliation,Abbreviation,University,City
Université Mohammed V,, Université Mohammed V, Rabat
"Faculté des Sciences Juridiques, Economiques et Sociales Agdal",FSJES Agdal,Université Mohammed V,Rabat
"Faculté des Sciences Juridiques, Economiques et Sociales Souissit",FSJES Souissi,Université Mohammed V,Rabat
"Faculté des Sciences Juridiques, Economiques et Sociales",FSJES Salé,Université Mohammed V,Salé
Faculté des Lettres et des Sciences Humaines,FLSH,Université Mohammed V,Rabat
Faculté des Sciences ,FS ,Université Mohammed V,Rabat
Faculté de Médecine et de Pharmacie,FMP,Université Mohammed V,Rabat
Faculté de Médecine Dentaire ,FMD ,Université Mohammed V,Rabat
Ecole Mohammadia d'Ingénieurs ,EMI ,Université Mohammed V,Rabat
Ecole Nationale Supérieure d'Informatique et d'Analyse des Systèmes ,ENSIAS ,Université Mohammed V,Rabat
Ecole Nationale Supérieure des Arts et Métiers ,ENSAM ,Université Mohammed V,Rabat
Faculté des Sciences de l'Education ,FSE ,Université Mohammed V,Rabat
Ecole Normale Supérieure ,ENS ,Université Mohammed V,Rabat
Ecole Supérieure de Technologie ,EST ,Université Mohammed V,Salé
Institut Scientifique ,IS ,Université Mohammed V,Rabat
Institut d'Etudes et de Recherches pour l'Arabisation ,IERA ,Université Mohammed V,Rabat
"Institut Universitaire des Etudes Africaines, Euro-méditerranéennes et Ibero-américaines",IUEAMIA ,Université Mohammed V,Rabat
