Affiliation,Abbreviation,University,City
Université Sidi Mohamed Ben Abdellah,,Université Sidi Mohamed Ben Abdellah ,Fès
Faculté Chariâa ,Faculté Chariâa ,Université Sidi Mohamed Ben Abdellah,Fès
"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Sidi Mohamed Ben Abdellah,Fès
Faculté des Lettres et des Sciences Humaines Dhar El Mahraz ,FLSH Dhar El Mahraz ,Université Sidi Mohamed Ben Abdellah,Fès
Faculté des Lettres et des Sciences Humaines Sais ,FLSH Sais ,Université Sidi Mohamed Ben Abdellah,Fès
Faculté des Sciences Dhar El Mahraz ,FS Dhar El Mahraz ,Université Sidi Mohamed Ben Abdellah,Fès
Faculté Polydisciplinaire ,FP ,Université Sidi Mohamed Ben Abdellah,Taza
Faculté des Sciences et Techniques Sais ,FST Sais ,Université Sidi Mohamed Ben Abdellah,Fès
"Faculté de Médecine, de Pharmacie et de Médecine Dentaire ",FMPMD ,Université Sidi Mohamed Ben Abdellah,Fès
Ecole Nationale des Sciences Appliquées ,ENSA Fès,Université Sidi Mohamed Ben Abdellah,Fès
Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Sidi Mohamed Ben Abdellah,Fès
Ecole Normale Supérieure ,ENS ,Université Sidi Mohamed Ben Abdellah,Fès
Ecole Supérieure de Technologie ,EST ,Université Sidi Mohamed Ben Abdellah,Fès
Institut des Sciences de Sport ,ISS ,Université Sidi Mohamed Ben Abdellah,Fès
