Affiliation,Abbreviation,University,City
Université Sultan Moulay Slimane,, Université Sultan Moulay Slimane,Béni Mellal
Faculté d'Economie et de Gestion  ,FEG ,Université Sultan Moulay Slimane,Béni Mellal
Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Sultan Moulay Slimane,Béni Mellal
Faculté Polydisciplinaire ,FP,Université Sultan Moulay Slimane,Béni Mellal
Faculté Polydisciplinaire ,FP ,Université Sultan Moulay Slimane,Khouribga
Faculté des Sciences et Techniques ,FST ,Université Sultan Moulay Slimane,Béni Mellal
Faculté de Médecine et de Pharmacie ,FMP ,Université Sultan Moulay Slimane,Béni Mellal
Ecole Nationale des Sciences Appliquées ,ENSA ,Université Sultan Moulay Slimane,Béni Mellal
Ecole Nationale des Sciences Appliquées ,ENSA ,Université Sultan Moulay Slimane,Khouribga
Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Sultan Moulay Slimane,Béni Mellal
Ecole Supérieure de l'Education et de la Formation ,ESEF ,Université Sultan Moulay Slimane,Béni Mellal
Ecole Supérieure de Technologie ,EST ,Université Sultan Moulay Slimane,Béni Mellal
Ecole Supérieure de Technologie ,EST ,Université Sultan Moulay Slimane,Khénifra
Ecole Supérieure de Technologie ,EST ,Université Sultan Moulay Slimane,Fquih Ben Salah
