id,Name,affiliation_id
23004567900,"Khachane, M",23
6701835701,"Villain, S",23
56698346700,"Sáenz, L",72
56615820600,"Bahi, S",125
55860914600,"Brahim, Ouajhain",34
55861329700,"Fida, Medina",134
15724539900,"Chabab, Mohamed",23
7003860727,"Tadeo, F",23
24821605000,"Mehdi, Ismaili",125
6603494020,"Radi, B",142
12771014000,"Asongalem, Emmanuel",126
7003356678,"Gapais, D",23
7801574976,"Moreau, Nadége",134
36835293600,"Bahaj, T",125
16024103100,"Addaim, Adnane",128
23100752000,"Rahioui, Bouchra",23
55891222800,"na, Karim",129
6602614916,"Ikenne, Moha",91
6506140516,"Ouguir, Hassan",140
7004392558,"Latif, R",99
6507690183,"Aassif, E",84
24821567600,"Aboudou, Abderraouf",53
16068315300,"Antari, Jilali",23
8601560600,"Latif, A",18
6505784001,"Ouahman, A",18
55905725300,"Ghermani, Nour",23
56349129500,"Ouardi, Hamid",65
6701409798,"Arhrib, Abdesslam",9
26651733900,"Chang, Wei",23
55927932300,"Gueraoui, K",125
6504584661,"Outtaj, Benaceur",122
24464131300,"Ajhoun, Rachida",129
8864913100,"Aharouch, L",93
8586238300,"Azroul, E",153
24724519600,"Jamouli, Hicham",99
24767710000,"Alami, Jihane",125
24821184400,"Aouzale, Noureddine",23
57200235726,"Touzani, M",126
24474272000,"Chougdali, Khalid",125
24824539600,"Enneya, N",120
7801316518,"Oualkadi, Ahmed",27
57222080243,"Tabii, Youness",129
15122627800,"Tebbji, K",111
6506513585,"Faska, N",23
16311340300,"Tounsi, A",142
56008990500,"Oudda, H",77
8947023800,"Benkaddour, M",111
6507722070,"badaoui, Mohamed",125
55819169300,"hamad, Bakrim",23
25321104300,"Mehdi, Ismaili",125
14627198800,"Boulmakoul, Azedine",62
19933623000,"Bakrim, Ahmed",9
12240426400,"Baryala, Yamna",132
12240226500,"Zerzouf, Abdelfettah",125
36835562000,"Saddiki, N",125
16021899700,"Barbri, N",140
6506199391,"Sedes, F",125
6602701872,"Mesquine, Fouad",18
15064143800,"Hadi, Youssef",125
24830118000,"Meziane, Rachid",129
6504495627,"HajThami, Rachid",129
6505878056,"Ammor, H",6
6505483197,"Benaabidate, L",153
6603740646,"Dellis, J",18
56035700800,"Marssi, M",18
22937642900,"Jabrane, Y",23
6603432556,"Assaid, El",37
24528348500,"Belkasmi, M",129
55805881500,"Fetnassi, M",120
56614783200,"Mourabit, A",12
35081665700,"Belkamel, J",23
23566932800,"Nouiri, Hicham",125
31967453500,"Chikhaoui, Na",124
6504378235,"Bouhdadi, Mohamed",125
6506646228,"Hajji, B",114
7102041716,"Miranda, R",153
7004121176,"Fliyou, M",30
36650653000,"Elwarraki, Elmostafa",18
24822381600,"Sabir, Abderrafia",53
16231789100,"Taoufiki, Manal",125
57222401572,"Adib, Abdellah",134
23033668300,"Daoudi, Mohamed",125
6603385545,"Chadli, Ouayl",84
25228399200,"Chbani, Zaki",18
23978044400,"Elghazi, Haddou",153
8415913200,"Bali, Brahim",111
24502683200,"Eddahhak, A",140
57219026392,"Magri, A",128
13614267600,"Jbilou, Rachid",9
6603388545,"Maghrani, M",142
6504113435,"Ouadia, A",23
23389729800,"Maarouf, A",23
26434588600,"Aziz, A",111
57202209984,"Fadil, H",128
23399087600,"Ziani, Fatima",99
6602839432,"Salghi, Rachid",91
16245070200,"Lahsoune, M",63
36602261100,"Elmaguiri, O",128
6602383603,"Kachouane, A",77
7003334741,"Zaid, Abdelhamid",142
24477215600,"Fredj, Mounia",129
24484124500,"Salahddine, Krit",153
9333872500,"Abaali, H",23
6506407423,"Sandali, Abdelhalim",65
6508122273,"Nechad, R",128
6701545109,"Zerrik, E",140
56373645400,"Yafia, Radouane",93
24367849700,"Troufflard, Claire",62
24484667200,"Jouni, A",160
6603339084,"Addou, M",77
6603699633,"Benzaouia, A",18
24172494700,"Lachkar, I",128
7003928072,"Benkirane, Abdelmoujib",153
56110953300,"Boutayeb, Abdesslam",111
6506256703,"Feroni, Andrea",53
6506983665,"Boudine, B",37
23089919200,"Baibai, Tarik",53
24503522300,"Lemacha, H",72
56210406600,"Razack, M",72
21833826600,"Echajia, M",18
8678471300,"Touhami, Ahmed",43
24478478400,"Khattak, Saad",120
6601975436,"Derkowska, Beata",37
13905481500,"Redouani, Ahmed",91
23398355400,"Touhami, Mohammed",23
6506540098,"Boufoussi, Brahim",23
57197118929,"Salhi, M",160
24470107700,"Maaroufi, Saida",120
7003784064,"Giri, F",128
57199555994,"Morsli, Khadija",34
6602610890,"Amahzoune, B",126
22135335800,"Medraoui, Leila",125
6603387124,"Ater, Mohammed",6
15062788000,"Kabbour, Brahim",18
10142204600,"Hajjouji, H",23
6506045744,"Loudghiri, E",125
57223647594,"Jellal, Ahmed",34
55886251000,"Bougrin, Khalid",125
56634437000,"Gadhi, N",148
7004537381,"Ciaccio, L",60
8292975800,"Poggioli, L",108
6601965244,"Seez, I",125
7003954503,"Alvarez, Roberto",6
6601993090,"Dridi, Nezha",120
17434484800,"Idbenali, M",84
6602914756,"Tadili, B",134
6603238311,"Brahim, L",120
11239316900,"Larhzil, H",77
58556372000,"Benabdellah, M",111
22934121500,"Janan, M",128
22941963700,"Sibaha, Mohamed",77
55969688700,"Bouikhalene, Belaid",91
23967631600,"Lucio, M",125
6602127898,"Parra, Rafael",15
9839298200,"Gomes, Dawidson",24
23026964100,"Boulal, Taoufik",53
8576436800,"Kahlaoui, Mohammed",34
22633279600,"Bouyatas, My",23
6505910555,"Essaoudi, I",140
6506866763,"Oubbi, Lahbib",132
22958069400,"Mohamed, Lagzouli",72
