ID,Title,Issn,Rank,SJR,Publisher,Type,Areas
28773,Ca-A Cancer Journal for Clinicians,"15424863, 00079235",1,"106,094",Wiley-Blackwell,journal,Medicine
19300156903,Foundations and Trends in Machine Learning,"19358245, 19358237",2,"37,044",Now Publishers Inc,journal,Computer Science
20315,Nature Reviews Molecular Cell Biology,"14710072, 14710080",3,"35,910",Nature Publishing Group,journal,"Biochemistry, Genetics and Molecular Biology"
29431,Quarterly Journal of Economics,"00335533, 15314650",4,"30,448",Oxford University Press,journal,"Economics, Econometrics and Finance"
12464,Nature Reviews Cancer,"1474175X, 14741768",5,"26,837",Nature Publishing Group,journal,"Biochemistry, Genetics and Molecular Biology; Medicine"
18434,Cell,"00928674, 10974172",6,"24,342",Elsevier B.V.,journal,"Biochemistry, Genetics and Molecular Biology"
20425,Nature Reviews Drug Discovery,"14741784, 14741776",7,"22,399",Nature Publishing Group,journal,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
22697,American Economic Review,"19447981, 00028282",8,"22,344",American Economic Association,journal,"Economics, Econometrics and Finance"
21100812243,Nature Reviews Materials,20588437,9,"21,836",Nature Publishing Group,journal,Energy; Materials Science
17700156734,Nature Reviews Clinical Oncology,"17594782, 17594774",10,"21,048",Nature Publishing Group,journal,Medicine
15847,New England Journal of Medicine,"00284793, 15334406",11,"20,544",Massachussetts Medical Society,journal,Medicine
17500,Journal of Finance,"00221082, 15406261",12,"19,139",Wiley-Blackwell Publishing Ltd,journal,"Business, Management and Accounting; Economics, Econometrics and Finance"
15819,Nature Medicine,"1546170X, 10788956",13,"19,045",Nature Research,journal,"Biochemistry, Genetics and Molecular Biology; Medicine"
11600154092,Current Protocols in Bioinformatics,"19343396, 1934340X",14,"18,663",John Wiley &amp; Sons Inc.,journal,"Biochemistry, Genetics and Molecular Biology; Medicine"
21100466539,MMWR supplements,"23808942, 23808950",15,"18,587",Epidemiology Program Office,journal,Medicine
24404,Journal of Political Economy,"00223808, 1537534X",16,"18,530",University of Chicago,journal,"Economics, Econometrics and Finance"
21206,Nature,"14764687, 00280836",17,"18,509",Nature Research,journal,Multidisciplinary
16115,Nature Biotechnology,"15461696, 10870156",18,"18,117",Nature Publishing Group,journal,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology"
23340,Chemical Reviews,"15206890, 00092665",19,"17,828",American Chemical Society,journal,Chemistry
19482,Econometrica,"00129682, 14680262",20,"17,701",Wiley-Blackwell Publishing Ltd,journal,"Economics, Econometrics and Finance"
16161,Review of Financial Studies,"14657368, 08939454",21,"17,654",Oxford University Press,journal,"Business, Management and Accounting; Economics, Econometrics and Finance"
29093,Cancer Cell,"15356108, 18783686",22,"17,507",Cell Press,journal,"Biochemistry, Genetics and Molecular Biology; Medicine"
21100812579,Nature Energy,20587546,23,"17,497",Springer Nature,journal,Energy; Materials Science
18990,Nature Genetics,"10614036, 15461718",24,"17,300",Nature Publishing Group,journal,"Biochemistry, Genetics and Molecular Biology"
29719,Reviews of Modern Physics,"00346861, 15390756",25,"16,061",American Physical Society,journal,Physics and Astronomy
21318,Nature Reviews Immunology,"14741741, 14741733",26,"16,009",Nature Publishing Group,journal,Immunology and Microbiology; Medicine
17900156715,IEEE Communications Surveys and Tutorials,1553877X,27,"15,966",Institute of Electrical and Electronics Engineers Inc.,journal,Engineering
6200180159,World Psychiatry,17238617,28,"15,827",Wiley-Blackwell,journal,Medicine
20651,Annual Review of Immunology,"15453278, 07320582",29,"15,620",Annual Reviews Inc.,journal,Immunology and Microbiology; Medicine
58530,National Vital Statistics Reports,"15518922, 15518930",30,"14,943","Public Health Services, US Dept of Health and Human Services",journal,Social Sciences
