Affiliation,Abbreviation,University,City
Université Abdelmalek Essaadi,,Université Abdelmalek Essaadi,Tétouan
Faculté Oussoul Eddine ,FOE ,Université Abdelmalek Essaadi,Tétouan
"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Abdelmalek Essaadi,Tanger
"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Abdelmalek Essaadi,Tétouan
Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Abdelmalek Essaadi,Tétouan
Faculté des Sciences ,FS ,Université Abdelmalek Essaadi,Tétouan
Faculté Polydisciplinaire ,FP ,Université Abdelmalek Essaadi,Larache
Faculté Polydisciplinaire ,FP ,Université Abdelmalek Essaadi,Kssar El Kébir
Faculté des Sciences et Techniques ,FST ,Université Abdelmalek Essaadi,Tanger
Faculté des Sciences et Techniques ,FST ,Université Abdelmalek Essaadi,Al Hoceima
Faculté de Médecine et Pharmacie ,FMP ,Université Abdelmalek Essaadi,Tanger
Ecole Nationale des Sciences Appliquées ,ENSA ,Université Abdelmalek Essaadi,Tanger
Ecole Nationale des Sciences Appliquées ,ENSA ,Université Abdelmalek Essaadi,Tétouan
Ecole Nationale des Sciences Appliquées ,ENSA ,Université Abdelmalek Essaadi,Al Hoceima
Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Abdelmalek Essaadi,Tanger
Ecole Normale Supérieure ,ENS ,Université Abdelmalek Essaadi,Tétouan
Ecole Supérieure Roi Fahd de Traduction ,ESRFT ,Université Abdelmalek Essaadi,Tanger
