Affiliation,Abbreviation,University,City
Université Cadi Ayyad,,Université Cadi Ayyad, Marrakech
Faculté de la Langue Arabe ,FLA ,Université Cadi Ayyad,Marrakech
"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Cadi Ayyad,Marrakech
"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Cadi Ayyad,EL Kelaâ des Sraghna
Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Cadi Ayyad,Marrakech
Faculté des Sciences Semlalia ,FS Semlalia ,Université Cadi Ayyad,Marrakech
Faculté Polydisciplinaire ,FP ,Université Cadi Ayyad,Safi
Faculté des Sciences et Techniques Guéliz ,FST Guéliz ,Université Cadi Ayyad,Marrakech
Faculté de Médecine et de Pharmacie ,FMP ,Université Cadi Ayyad,Marrakech
Ecole Nationale des Sciences Appliquées ,ENSA ,Université Cadi Ayyad,Marrakech
Ecole Nationale des Sciences Appliquées ,ENSA ,Université Cadi Ayyad,Safi
Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Cadi Ayyad,Marrakech
Ecole Normale Supérieure ,ENS ,Université Cadi Ayyad,Marrakech
Ecole Supérieure de Technologie ,EST ,Université Cadi Ayyad,Safi
Ecole Supérieure de Technologie ,EST ,Université Cadi Ayyad,Essaouira
Ecole Supérieure de Technologie ,EST ,Université Cadi Ayyad,EL Kelaâ des Sraghna
