Affiliation,Abbreviation,University,City
Université Ibn Tofail,,Université Ibn Tofail,Kénitra
Faculté des Sciences Juridiques et Politiques ,FSJP ,Université Ibn Tofail,Kénitra
Faculté d'Economie et de Gestion ,FEG ,Université Ibn Tofail,Kénitra
"Facultés des Langues, des Lettres et des Arts ",FLLA ,Université Ibn Tofail,Kénitra
Faculté des Sciences Humaines et Sociale ,FSHS ,Université Ibn Tofail,Kénitra
Faculté des Sciences ,FS ,Université Ibn Tofail,Kénitra
Ecole Nationale des Sciences Appliquées ,ENSA ,Université Ibn Tofail,Kénitra
Ecole Nationale Supérieure de Chimie ,ENSC ,Université Ibn Tofail,Kénitra
Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Ibn Tofail,Kénitra
Ecole Supérieure de l'Education et de la Formation ,ESEF ,Université Ibn Tofail,Kénitra
Ecole Supérieure de Technologie ,EST ,Université Ibn Tofail,Kénitra
Institut des Métiers du Sport ,IMS ,Université Ibn Tofail,Kénitra
