Affiliation,Abbreviation,University,City
Université Moulay Ismail,,Université Moulay Ismail,Meknès
"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Moulay Ismail,Meknès
Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Moulay Ismail,Meknès
Faculté des Sciences ,FS ,Université Moulay Ismail,Meknès
Faculté Polydisciplinaire ,FP ,Université Moulay Ismail,Errachidia
Faculté des Sciences et Techniques ,FST ,Université Moulay Ismail,Errachidia
Faculté de Médecine et Pharmacie ,FMP ,Université Moulay Ismail,Errachidia
Ecole Nationale Supérieure des Arts et Métiers ,ENSAM ,Université Moulay Ismail,Meknès
Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Moulay Ismail,Meknès
Ecole Normale Supérieure ,ENS ,Université Moulay Ismail,Meknès
Ecole Supérieure de Technologie ,EST ,Université Moulay Ismail,Meknès
