"Authors","Author full names","Author(s) ID","Title","Year","Source title","DOI","Link","Affiliations","Authors with affiliations","Author Keywords","Index Keywords","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Document Type","Open Access","Source","EID"
"Mohamed Abdoul-Latif F.; Ainane A.; Houmed Aboubaker I.; Mohamed Ahmed N.; Ainane T.","Mohamed Abdoul-Latif, Fatouma (57221648003); Ainane, Ayoub (56480346800); Houmed Aboubaker, Ibrahim (57410311400); Mohamed Ahmed, Nabil (57410892900); Ainane, Tarik (35191638700)","57221648003; 56480346800; 57410311400; 57410892900; 35191638700","HEALTH MONITORING OF TYPE 2 DIABETIC PATIENTS CURED OF COVID-19 INFECTION IN DJIBOUTI AND MOROCCO: BIOMEDICAL ANALYSIS AND DIAGNOSTIC","2021","Pharmacologyonline","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123532854&partnerID=40&md5=e7bc7b924bb6a3187e88241aa9a64c80","Medicinal Research Institute, Center for Research and Study of Djibouti, BP 486, Djibouti; Superior School of Technology of Khenifra (EST-Khenifra), University of Sultan Moulay Slimane, BP 170, Khenifra, 54000, Morocco; Peltier hospital of Djibouti, BP 2123, Djibouti","Mohamed Abdoul-Latif F., Medicinal Research Institute, Center for Research and Study of Djibouti, BP 486, Djibouti; Ainane A., Superior School of Technology of Khenifra (EST-Khenifra), University of Sultan Moulay Slimane, BP 170, Khenifra, 54000, Morocco; Houmed Aboubaker I., Peltier hospital of Djibouti, BP 2123, Djibouti; Mohamed Ahmed N., Medicinal Research Institute, Center for Research and Study of Djibouti, BP 486, Djibouti; Ainane T., Superior School of Technology of Khenifra (EST-Khenifra), University of Sultan Moulay Slimane, BP 170, Khenifra, 54000, Morocco","Blood tests; COVID-19; Diabetic type 2; Health monitoring; Syndromes","glycosylated hemoglobin; adult; African; anemia; arthralgia; Article; clinical article; controlled study; coronavirus disease 2019; diarrhea; disease association; fatigue; female; headache; human; hypertension; infection; male; memory; mental disease; Morocco; myalgia; non insulin dependent diabetes mellitus; patient monitoring; physiological stress; snowball sample","","SILAE (Italo-Latin American Society of Ethnomedicine)","18278620","","","","English","Article","","Scopus","2-s2.0-85123532854"
"Hajji R.; Jarar Oulidi H.","Hajji, Rafika (57214068561); Jarar Oulidi, Hassane (57194679033)","57214068561; 57194679033","Development of the BIM model","2021","Building Information Modeling for a Smart and Sustainable Urban Space","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148192750&partnerID=40&md5=e1804555b2831289f84acacbb1a7f6f5","Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco; Geomatic Sciences, EHTP, Casablanca, Morocco","Hajji R., Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco; Jarar Oulidi H., Geomatic Sciences, EHTP, Casablanca, Morocco","3D digital models; 3D reconstruction; Airborne LIDARs; BIM model; Lasergrammetry; Urban management","","","Wiley Blackwell","","978-111988547-4; 978-111988546-7","","","English","Book chapter","","Scopus","2-s2.0-85148192750"
"Mohamed Abdoul-Latif F.; Ainane A.; Houmed Aboubaker I.; Mohamed Ahmed N.; Ainane T.","Mohamed Abdoul-Latif, Fatouma (57221648003); Ainane, Ayoub (56480346800); Houmed Aboubaker, Ibrahim (57410311400); Mohamed Ahmed, Nabil (57410892900); Ainane, Tarik (35191638700)","57221648003; 56480346800; 57410311400; 57410892900; 35191638700","DIETARY SUPPLEMENTS BASED ON MICROALGAE FOR DIABETICS WITH COVID-19: CHALLENGES AND FUTURE PERSPECTIVES","2021","Pharmacologyonline","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122808319&partnerID=40&md5=7a47ad0f947e29d8537a3c4429bd79c3","Medicinal Research Institute, Center for Research and Study of Djibouti, BP 486, Djibouti; Superior School of Technology of Khenifra (EST-Khenifra), University of Sultan Moulay Slimane, BP 170, Khenifra, 54000, Morocco; Peltier hospital of Djibouti, BP 2123, Djibouti","Mohamed Abdoul-Latif F., Medicinal Research Institute, Center for Research and Study of Djibouti, BP 486, Djibouti; Ainane A., Superior School of Technology of Khenifra (EST-Khenifra), University of Sultan Moulay Slimane, BP 170, Khenifra, 54000, Morocco; Houmed Aboubaker I., Peltier hospital of Djibouti, BP 2123, Djibouti; Mohamed Ahmed N., Medicinal Research Institute, Center for Research and Study of Djibouti, BP 486, Djibouti; Ainane T., Superior School of Technology of Khenifra (EST-Khenifra), University of Sultan Moulay Slimane, BP 170, Khenifra, 54000, Morocco","COVID-19; Diabetes; Dietary supplements; Microalgae; PCA","Acutodesmus obliquus; Anabaena cylindrica; Aphanizomenon flos-aquae; Arthrospira maxima; Arthrospira platensis; Article; Biddulphia; carbohydrate analysis; Chaetoceros; Chlamydomonas rheinhardii; Chlorella pyrenoidosa; Chlorella vulgaris; coronavirus disease 2019; diabetes mellitus; diabetic patient; diet supplementation; dietary supplement; Dunaliella salina; energy resource; Euglena gracilis; glucose blood level; human; immune system; international health regulation; Isochrysis galbana; lipid composition; microalga; Nannochloropsis; Navicula incerta; Navicula uncerta; Nitzschia; nonhuman; pandemic; Porphyridium cruentum; protein analysis; Spirogyra; Synechococcus; Tetraselmis","","SILAE (Italo-Latin American Society of Ethnomedicine)","18278620","","","","English","Article","","Scopus","2-s2.0-85122808319"
"El housse M.; Hadfi A.; Karmal I.; EL Ibrahimi B.; Ben-aazza S.; Errami M.; Belattar M.; Mohareb S.; Driouiche A.","El housse, Mohamed (57218949418); Hadfi, Abdallah (35558665900); Karmal, Ilham (57214226744); EL Ibrahimi, Brahim (57219292269); Ben-aazza, Said (57204888598); Errami, Mohamed (6602859146); Belattar, M'barek (57203526397); Mohareb, Said (57203531352); Driouiche, Ali (57213246977)","57218949418; 35558665900; 57214226744; 57219292269; 57204888598; 6602859146; 57203526397; 57203531352; 57213246977","Valorization of Crocus Sativus L waste extracts as efficient, eco-friendly and economical inhibitors of scaling: Experimental and computational investigations","2021","Journal of Molecular Liquids","10.1016/j.molliq.2021.117718","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116632692&doi=10.1016%2fj.molliq.2021.117718&partnerID=40&md5=810960e90a0a9a8339cf21551a6abf14","Process Engineering Laboratory, Team “Materials and Physico-Chemistry of Water”, Faculty of Sciences, Ibn Zohr University, Agadir, Morocco; Team of Physical Chemistry and Environment, Faculty of Sciences, Ibn Zohr University, Agadir, Morocco; Faculty of Applied Sciences, Ibn Zohr University, Aït Melloul, Morocco","El housse M., Process Engineering Laboratory, Team “Materials and Physico-Chemistry of Water”, Faculty of Sciences, Ibn Zohr University, Agadir, Morocco; Hadfi A., Process Engineering Laboratory, Team “Materials and Physico-Chemistry of Water”, Faculty of Sciences, Ibn Zohr University, Agadir, Morocco; Karmal I., Process Engineering Laboratory, Team “Materials and Physico-Chemistry of Water”, Faculty of Sciences, Ibn Zohr University, Agadir, Morocco; EL Ibrahimi B., Team of Physical Chemistry and Environment, Faculty of Sciences, Ibn Zohr University, Agadir, Morocco, Faculty of Applied Sciences, Ibn Zohr University, Aït Melloul, Morocco; Ben-aazza S., Process Engineering Laboratory, Team “Materials and Physico-Chemistry of Water”, Faculty of Sciences, Ibn Zohr University, Agadir, Morocco; Errami M., Team of Physical Chemistry and Environment, Faculty of Sciences, Ibn Zohr University, Agadir, Morocco; Belattar M., Process Engineering Laboratory, Team “Materials and Physico-Chemistry of Water”, Faculty of Sciences, Ibn Zohr University, Agadir, Morocco; Mohareb S., Process Engineering Laboratory, Team “Materials and Physico-Chemistry of Water”, Faculty of Sciences, Ibn Zohr University, Agadir, Morocco; Driouiche A., Process Engineering Laboratory, Team “Materials and Physico-Chemistry of Water”, Faculty of Sciences, Ibn Zohr University, Agadir, Morocco","Biomass valorization; CSL waste extracts; Green scaling inhibitors; MD simulations, DFT calculations","Adsorption; Biomass; Calcite; Computation theory; Density functional theory; Environmental protection; Flavonoids; Fourier transform infrared spectroscopy; Scanning electron microscopy; Tannins; Antiscaling; Aqueous extracts; Biomass valorizations; Crocus sativu L waste extract; Crocus sativus L; Density-functional theory calculations; Green scaling inhibitor; Molecular dynamic simulation, density functional theory calculation; Scalings; Valorisation; Molecular dynamics","","Elsevier B.V.","01677322","","JMLID","","English","Article","","Scopus","2-s2.0-85116632692"
"El Yamani S.; Hajji R.","El Yamani, Siham (57222246406); Hajji, Rafika (57214068561)","57222246406; 57214068561","BIM and 3D GIS integration for real estate valuation","2021","Building Information Modeling for a Smart and Sustainable Urban Space","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143972380&partnerID=40&md5=35d0d924b6de788e691bfa1e08c5a21a","IAV Hasssan II, Rabat, Morocco; Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco","El Yamani S., IAV Hasssan II, Rabat, Morocco; Hajji R., Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco","3D geographic information systems; Building information modeling; Real estate valuation; Residential property; Residential value","","","Wiley Blackwell","","978-111988547-4; 978-111988546-7","","","English","Book chapter","","Scopus","2-s2.0-85143972380"
"Ezzariai A.; Hafidi M.; Ben Bakrim W.; Kibret M.; Karouach F.; Sobeh M.; Kouisni L.","Ezzariai, Amine (57194599047); Hafidi, Mohamed (6603925119); Ben Bakrim, Widad (57195483313); Kibret, Mulugeta (6506129313); Karouach, Fadoua (56014481300); Sobeh, Mansour (56913332700); Kouisni, Lamfeddal (6506198119)","57194599047; 6603925119; 57195483313; 6506129313; 56014481300; 56913332700; 6506198119","Identifying Advanced Biotechnologies to Generate Biofertilizers and Biofuels From the World’s Worst Aquatic Weed","2021","Frontiers in Bioengineering and Biotechnology","10.3389/fbioe.2021.769366","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122281995&doi=10.3389%2ffbioe.2021.769366&partnerID=40&md5=4db1ce6dcd4812c13e07c378538766ba","African Sustainable Agriculture Research Institute, Mohammed VI Polytechnic University, Laayoune, Morocco; Laboratoire Biotechnologies Microbiennes, Agrosciences et Environnement (BioMagE), Unité de Recherche Labellisée, Faculty of Science Semlalia, Cadi Ayyad University, Marrakech, Morocco; Agrobiosciences Department, Mohammed VI Polytechnic University, Benguérir, Morocco; Department of Biology, Bahir Dar University, Bahir Dar, Ethiopia","Ezzariai A., African Sustainable Agriculture Research Institute, Mohammed VI Polytechnic University, Laayoune, Morocco; Hafidi M., Laboratoire Biotechnologies Microbiennes, Agrosciences et Environnement (BioMagE), Unité de Recherche Labellisée, Faculty of Science Semlalia, Cadi Ayyad University, Marrakech, Morocco, Agrobiosciences Department, Mohammed VI Polytechnic University, Benguérir, Morocco; Ben Bakrim W., African Sustainable Agriculture Research Institute, Mohammed VI Polytechnic University, Laayoune, Morocco, Agrobiosciences Department, Mohammed VI Polytechnic University, Benguérir, Morocco; Kibret M., African Sustainable Agriculture Research Institute, Mohammed VI Polytechnic University, Laayoune, Morocco, Department of Biology, Bahir Dar University, Bahir Dar, Ethiopia; Karouach F., African Sustainable Agriculture Research Institute, Mohammed VI Polytechnic University, Laayoune, Morocco; Sobeh M., Agrobiosciences Department, Mohammed VI Polytechnic University, Benguérir, Morocco; Kouisni L., African Sustainable Agriculture Research Institute, Mohammed VI Polytechnic University, Laayoune, Morocco","anaerobic digestion; biofuels; composting; ethanol; hydrogen; methane; water hyacinth","Anaerobic digestion; Biofuels; Economics; Environmental impact; Substrates; Water; Aquatic weeds; Basic parameters; Bio-energy; Biofertilizers; Biofuel production; Condition; Freshwater bodies; Invasive plants; Valorisation; Water Hyacinth; Hydrogen","","Frontiers Media S.A.","22964185","","","","English","Review","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85122281995"
"Hu P.; Li Q.; Liang L.","Hu, Pengfei (57208396936); Li, Qiang (56233639600); Liang, Long (56596018200)","57208396936; 56233639600; 56596018200","A review of characterization techniques of heterocoagulation between mineral particles in mineral separation process","2021","Separation and Purification Technology","10.1016/j.seppur.2021.119699","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114924398&doi=10.1016%2fj.seppur.2021.119699&partnerID=40&md5=0e239d20a29eb9b0e5e2d8819abcdd47","Key Laboratory of Coal Processing and Efﬁcient Utilization of Ministry of Education, China University of Mining and Technology, Xuzhou, 221116, China; Imed-Lab, Faculty of Sciences and Technology, Cadi Ayyad University (UCA), Abdelkarim Elkhattabi Avenue, Gueliz, P.O. Box 549, Marrakech, 40000, Morocco","Hu P., Key Laboratory of Coal Processing and Efﬁcient Utilization of Ministry of Education, China University of Mining and Technology, Xuzhou, 221116, China, Imed-Lab, Faculty of Sciences and Technology, Cadi Ayyad University (UCA), Abdelkarim Elkhattabi Avenue, Gueliz, P.O. Box 549, Marrakech, 40000, Morocco; Li Q., Key Laboratory of Coal Processing and Efﬁcient Utilization of Ministry of Education, China University of Mining and Technology, Xuzhou, 221116, China; Liang L., Key Laboratory of Coal Processing and Efﬁcient Utilization of Ministry of Education, China University of Mining and Technology, Xuzhou, 221116, China","Characterization technique; Heterocoagulation; Mineral particle; Slime coating","Coagulation; Coatings; Carrier Method; Characterization methods; Characterization techniques; Coating process; Controlled process; Hetero-coagulation; Mineral particles; Mineral separation; Separation process; Slime coating; Minerals","","Elsevier B.V.","13835866","","SPUTF","","English","Review","","Scopus","2-s2.0-85114924398"
"Eddaoudi F.-E.; Mallouk S.; El Farrouji A.; Boualy B.; Tabyaoui M.","Eddaoudi, Fatima-Ezzahra (37002608300); Mallouk, Siham (6504824325); El Farrouji, Amine (35409030400); Boualy, Brahim (35317062400); Tabyaoui, Mohamed (6506458278)","37002608300; 6504824325; 35409030400; 35317062400; 6506458278","Computational Study for the Evaluation of Drug Candidature of the Most Abundant Molecules from Vitex agnus-castus L. for Inhibition of HBV Capsid and X Proteins","2021","Letters in Applied NanoBioScience","10.33263/LIANBS104.27222728","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119599548&doi=10.33263%2fLIANBS104.27222728&partnerID=40&md5=adaab16062d988c96a639306303e5246","Université Sultan Moulay Slimane, Faculté Polydisciplinaire de Khouribga, B.P: 145-25000, Khouribga, Morocco; Laboratoire de Chimie Appliquée des Matériaux, Centres des Sciences des Matériaux, Faculty of Sciences, Mohammed V University in Rabat, Avenue Ibn Battouta, BP 1014, Rabat, Morocco; Lycée qualifiant Zerktouni, BP 2390, Marrakech, 40140, Morocco","Eddaoudi F.-E., Université Sultan Moulay Slimane, Faculté Polydisciplinaire de Khouribga, B.P: 145-25000, Khouribga, Morocco, Laboratoire de Chimie Appliquée des Matériaux, Centres des Sciences des Matériaux, Faculty of Sciences, Mohammed V University in Rabat, Avenue Ibn Battouta, BP 1014, Rabat, Morocco; Mallouk S., Université Sultan Moulay Slimane, Faculté Polydisciplinaire de Khouribga, B.P: 145-25000, Khouribga, Morocco; El Farrouji A., Lycée qualifiant Zerktouni, BP 2390, Marrakech, 40140, Morocco; Boualy B., Université Sultan Moulay Slimane, Faculté Polydisciplinaire de Khouribga, B.P: 145-25000, Khouribga, Morocco; Tabyaoui M., Laboratoire de Chimie Appliquée des Matériaux, Centres des Sciences des Matériaux, Faculty of Sciences, Mohammed V University in Rabat, Avenue Ibn Battouta, BP 1014, Rabat, Morocco","hepatitis B virus; inhibitor; molecular docking; Vitex agnus-castus L","","","AMG Transcend Association","22846808","","","","English","Article","All Open Access; Bronze Open Access","Scopus","2-s2.0-85119599548"
"Aarab I.; Derqaoui M.; El Amari K.; Yaacoubi A.; Abidi A.; Etahiri A.; Baçaoui A.","Aarab, Imane (57219992605); Derqaoui, Mohammed (57216582536); El Amari, Khalid (7801498219); Yaacoubi, Abdelrani (56157896100); Abidi, Abdelmoughit (56711708000); Etahiri, Abderahman (6507381682); Baçaoui, Abdelaziz (6506121726)","57219992605; 57216582536; 7801498219; 56157896100; 56711708000; 6507381682; 6506121726","Influence of surface dissolution on reagents’ adsorption on low-grade phosphate ore and its flotation selectivity","2021","Colloids and Surfaces A: Physicochemical and Engineering Aspects","10.1016/j.colsurfa.2021.127700","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116856037&doi=10.1016%2fj.colsurfa.2021.127700&partnerID=40&md5=8cb585262a6c363633f9cc8dd5f7f098","Laboratory of Applied Chemistry and Biomass, Department of Chemistry & Development, Faculty of Sciences Semlalia-Marrakesh (FSSM), Cadi Ayyad University, Boulevard Prince My Abdellah, BP 2390, Marrakesh, 40000, Morocco; Laboratory of Georessources, Geoenvironment & Civil Engineering, Department of Earth Sciences, Faculty of Sciences and Technologies of Marrakesh (FSTM), Cadi Ayyad University, Boulevard Abdelkrim Al Khattabi, BP 549, Marrakesh, 40000, Morocco; Laboratory of Analysis of Geological Materials, Department of Geology and Sustainable Mining, Mohammed VI Polytechnic University, Lot 660, Hay Moulay Rachid, Benguerir, 43150, Morocco","Aarab I., Laboratory of Applied Chemistry and Biomass, Department of Chemistry & Development, Faculty of Sciences Semlalia-Marrakesh (FSSM), Cadi Ayyad University, Boulevard Prince My Abdellah, BP 2390, Marrakesh, 40000, Morocco; Derqaoui M., Laboratory of Applied Chemistry and Biomass, Department of Chemistry & Development, Faculty of Sciences Semlalia-Marrakesh (FSSM), Cadi Ayyad University, Boulevard Prince My Abdellah, BP 2390, Marrakesh, 40000, Morocco; El Amari K., Laboratory of Georessources, Geoenvironment & Civil Engineering, Department of Earth Sciences, Faculty of Sciences and Technologies of Marrakesh (FSTM), Cadi Ayyad University, Boulevard Abdelkrim Al Khattabi, BP 549, Marrakesh, 40000, Morocco; Yaacoubi A., Laboratory of Applied Chemistry and Biomass, Department of Chemistry & Development, Faculty of Sciences Semlalia-Marrakesh (FSSM), Cadi Ayyad University, Boulevard Prince My Abdellah, BP 2390, Marrakesh, 40000, Morocco; Abidi A., Laboratory of Applied Chemistry and Biomass, Department of Chemistry & Development, Faculty of Sciences Semlalia-Marrakesh (FSSM), Cadi Ayyad University, Boulevard Prince My Abdellah, BP 2390, Marrakesh, 40000, Morocco; Etahiri A., Laboratory of Analysis of Geological Materials, Department of Geology and Sustainable Mining, Mohammed VI Polytechnic University, Lot 660, Hay Moulay Rachid, Benguerir, 43150, Morocco; Baçaoui A., Laboratory of Applied Chemistry and Biomass, Department of Chemistry & Development, Faculty of Sciences Semlalia-Marrakesh (FSSM), Cadi Ayyad University, Boulevard Prince My Abdellah, BP 2390, Marrakesh, 40000, Morocco","Low-grade phosphate ore; Metallic ions; Selective adsorption; Sodium alginate; Sodium oleate; Surface dissolution","Adsorption; Alkalinity; Apatite; Calcite; Calcium carbonate; Deionized water; Dissolution; Fourier transform infrared spectroscopy; Iron compounds; Metal ions; Molecular biology; Quartz; Recovery; Sodium; Sodium alginate; Zeta potential; alginic acid; calcium carbonate; calcium ion; carboxymethylcellulose; deionized water; ferric ion; fluorapatite; magnesium ion; mineral; oleate sodium; phosphate; reagent; silicon dioxide; Ca 2+; Fe 3+; Fluorapatites; Low grade; Low-grade phosphate ore; Metallic ions; Phosphate ores; Selective adsorption; Sodium oleate; Surface dissolution; adsorption; alkalinity; Article; dissolution; flotation; precipitation; surface property; zeta potential; Flotation","","Elsevier B.V.","09277757","","CPEAE","","English","Article","","Scopus","2-s2.0-85116856037"
"Deabji N.; Fomba K.W.; El Hajjaji S.; Mellouki A.; Poulain L.; Zeppenfeld S.; Herrmann H.","Deabji, Nabil (57218463391); Fomba, Khanneh Wadinga (8640375700); El Hajjaji, Souad (57223797905); Mellouki, Abdelwahid (7003268048); Poulain, Laurent (9432343100); Zeppenfeld, Sebastian (57210592594); Herrmann, Hartmut (7402177459)","57218463391; 8640375700; 57223797905; 7003268048; 9432343100; 57210592594; 7402177459","First insights into northern Africa high-altitude background aerosol chemical composition and source influences","2021","Atmospheric Chemistry and Physics","10.5194/acp-21-18147-2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121617319&doi=10.5194%2facp-21-18147-2021&partnerID=40&md5=7e2245c8ddfb8c0ccd75649d7dd14843","Leibniz Institute for Tropospheric Research (TROPOS), Atmospheric Chemistry Department (ACD), Permoserstraße 15, Leipzig, 04318, Germany; LS3MN3E-CERNE2D, Faculty of Science, Mohammed V University in Rabat, 4 Avenue Ibn Battouta, B.P. 1040, Rabat, 10100, Morocco; Institut de Combustion Aérothermique Réactivité et Environnement/OSUC-CNRS, 1C Avenue de la Recherche Scientifique, Orleans Cedex 2, 45071, France","Deabji N., Leibniz Institute for Tropospheric Research (TROPOS), Atmospheric Chemistry Department (ACD), Permoserstraße 15, Leipzig, 04318, Germany, LS3MN3E-CERNE2D, Faculty of Science, Mohammed V University in Rabat, 4 Avenue Ibn Battouta, B.P. 1040, Rabat, 10100, Morocco; Fomba K.W., Leibniz Institute for Tropospheric Research (TROPOS), Atmospheric Chemistry Department (ACD), Permoserstraße 15, Leipzig, 04318, Germany; El Hajjaji S., LS3MN3E-CERNE2D, Faculty of Science, Mohammed V University in Rabat, 4 Avenue Ibn Battouta, B.P. 1040, Rabat, 10100, Morocco; Mellouki A., Institut de Combustion Aérothermique Réactivité et Environnement/OSUC-CNRS, 1C Avenue de la Recherche Scientifique, Orleans Cedex 2, 45071, France; Poulain L., Leibniz Institute for Tropospheric Research (TROPOS), Atmospheric Chemistry Department (ACD), Permoserstraße 15, Leipzig, 04318, Germany; Zeppenfeld S., Leibniz Institute for Tropospheric Research (TROPOS), Atmospheric Chemistry Department (ACD), Permoserstraße 15, Leipzig, 04318, Germany; Herrmann H., Leibniz Institute for Tropospheric Research (TROPOS), Atmospheric Chemistry Department (ACD), Permoserstraße 15, Leipzig, 04318, Germany","","Atlas Mountains; North Africa; aerosol; altitude; chemical composition; mineral dust; PAH; source apportionment; wind velocity","","Copernicus GmbH","16807316","","","","English","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85121617319"
