id,Affiliation,Abbreviation,Affiliation En Name,Type,University,City
1,Université Abdelmalek Essaadi,UAE,Abdelmalek Essaadi University,Université,Université Abdelmalek Essaadi,Tétouan
2,Faculté Oussoul Eddine,FOE ,Faculty of Fundamentals of Religion,Faculté,Université Abdelmalek Essaadi,Tétouan
3,"Faculté des Sciences Juridiques, Economiques et Sociales",FSJES ,"Faculty of Legal, Economic and Social Sciences",Faculté,Université Abdelmalek Essaadi,Tanger
4,"Faculté des Sciences Juridiques, Economiques et Sociales",FSJES ,"Faculty of Legal, Economic and Social Sciences",Faculté,Université Abdelmalek Essaadi,Tétouan
5,Faculté des Lettres et des Sciences Humaines,FLSH ,Faculty of Letters and Humanities,Faculté,Université Abdelmalek Essaadi,Tétouan
6,Faculté des Sciences,FS ,Faculty of Sciences,Faculté,Université Abdelmalek Essaadi,Tétouan
7,Faculté Polydisciplinaire,FP ,Polydisciplinary Faculty,Faculté,Université Abdelmalek Essaadi,Larache
8,Faculté Polydisciplinaire,FP ,Polydisciplinary Faculty,Faculté,Université Abdelmalek Essaadi,Kssar El Kébir
9,Faculté des Sciences et Techniques,FST ,Faculty of Sciences and Techniques,Faculté,Université Abdelmalek Essaadi,Tanger
10,Faculté des Sciences et Techniques,FST ,Faculty of Sciences and Techniques,Faculté,Université Abdelmalek Essaadi,Al Hoceima
11,Faculté de Médecine et Pharmacie,FMP ,Faculty of Medicine and Pharmacy,Faculté,Université Abdelmalek Essaadi,Tanger
12,Ecole Nationale des Sciences Appliquées,ENSA ,National School of Applied Sciences,Ecole,Université Abdelmalek Essaadi,Tanger
13,Ecole Nationale des Sciences Appliquées,ENSA ,National School of Applied Sciences,Ecole,Université Abdelmalek Essaadi,Tétouan
14,Ecole Nationale des Sciences Appliquées,ENSA ,National School of Applied Sciences,Ecole,Université Abdelmalek Essaadi,Al Hoceima
15,Ecole Nationale de Commerce et de Gestion,ENCG ,National School of Commerce and Management,Ecole,Université Abdelmalek Essaadi,Tanger
16,Ecole Normale Supérieure,ENS ,Higher Normal School,Ecole,Université Abdelmalek Essaadi,Tétouan
17,Ecole Supérieure Roi Fahd de Traduction,ESRFT ,King Fahd Higher School of Translation,Ecole,Université Abdelmalek Essaadi,Tanger
18,Université Cadi Ayyad,UCA,Cadi Ayyad University,Université,Université Cadi Ayyad, Marrakech
19,Faculté de la Langue Arabe,FLA ,Faculty of Arabic Language,Faculté,Université Cadi Ayyad,Marrakech
20,"Faculté des Sciences Juridiques, Economiques et Sociales",FSJES ,"Faculty of Legal, Economic and Social Sciences",Faculté,Université Cadi Ayyad,Marrakech
21,"Faculté des Sciences Juridiques, Economiques et Sociales",FSJES ,"Faculty of Legal, Economic and Social Sciences",Faculté,Université Cadi Ayyad,EL Kelaâ des Sraghna
22,Faculté des Lettres et des Sciences Humaines,FLSH ,Faculty of Letters and Humanities,Faculté,Université Cadi Ayyad,Marrakech
23,Faculté des Sciences Semlalia,FS Semlalia ,Faculty of Sciences Semlalia,Faculté,Université Cadi Ayyad,Marrakech
24,Faculté Polydisciplinaire,FP ,Polydisciplinary Faculty,Faculté,Université Cadi Ayyad,Safi
25,Faculté des Sciences et Techniques Guéliz,FST Guéliz ,Faculty of Sciences and Techniques Guéliz,Faculté,Université Cadi Ayyad,Marrakech
26,Faculté de Médecine et de Pharmacie,FMP ,Faculty of Medicine and Pharmacy,Faculté,Université Cadi Ayyad,Marrakech
27,Ecole Nationale des Sciences Appliquées,ENSA ,National School of Applied Sciences,Ecole,Université Cadi Ayyad,Marrakech
28,Ecole Nationale des Sciences Appliquées,ENSA ,National School of Applied Sciences,Ecole,Université Cadi Ayyad,Safi
29,Ecole Nationale de Commerce et de Gestion,ENCG ,National School of Commerce and Management,Ecole,Université Cadi Ayyad,Marrakech
30,Ecole Normale Supérieure,ENS ,Higher Normal School,Ecole,Université Cadi Ayyad,Marrakech
31,Ecole Supérieure de Technologie,EST ,Higher School of Technology,Ecole,Université Cadi Ayyad,Safi
32,Ecole Supérieure de Technologie,EST ,Higher School of Technology,Ecole,Université Cadi Ayyad,Essaouira
33,Ecole Supérieure de Technologie,EST ,Higher School of Technology,Ecole,Université Cadi Ayyad,EL Kelaâ des Sraghna
34,Université Chouaib Doukkali,UCD,Chouaib Doukkali University,Université,Université Chouaib Doukkali,El Jadida
35,"Faculté des Sciences Juridiques, Economiques et Sociales",FSJES ,"Faculty of Legal, Economic and Social Sciences",Faculté,Université Chouaib Doukkali,El Jadida
36,Faculté des Lettres et des Sciences Humaines,FLSH ,Faculty of Letters and Humanities,Faculté,Université Chouaib Doukkali,El Jadida
37,Faculté des Sciences,FS ,Faculty of Sciences,Faculté,Université Chouaib Doukkali,El Jadida
38,Faculté Polydisciplinaire,FP ,Polydisciplinary Faculty,Faculté,Université Chouaib Doukkali,Sidi Bennour
39,Ecole Nationale des Sciences Appliquées,ENSA ,National School of Applied Sciences,Ecole,Université Chouaib Doukkali,El Jadida
40,Ecole Nationale de Commerce et de Gestion,ENCG ,National School of Commerce and Management,Ecole,Université Chouaib Doukkali,El Jadida
41,Ecole Supérieure de l'Education et de la Formation,ESEF ,Higher School of Education and Training,Ecole,Université Chouaib Doukkali,El Jadida
42,Ecole Supérieure de Technologie,EST ,Higher School of Technology,Ecole,Université Chouaib Doukkali,Sidi Bennour
43,Université Hassan 1er,UH1,Hassan 1st University,Université,Université Hassan 1er,Settat
44,Faculté des Sciences Juridiques et Politiques,FSJP ,Faculty of Juridical and Political Sciences,Faculté,Université Hassan 1er,Settat
