"ISSN","Category"
"15424863","Hematology"
"15424863","Oncology"
"00079235","Hematology"
"00079235","Oncology"
"19358245","Artificial Intelligence"
"19358245","Human-Computer Interaction"
"19358245","Software"
"19358237","Artificial Intelligence"
"19358237","Human-Computer Interaction"
"19358237","Software"
"14710072","Cell Biology"
"14710072","Molecular Biology"
"14710080","Cell Biology"
"14710080","Molecular Biology"
"00335533","Economics and Econometrics"
"15314650","Economics and Econometrics"
"1474175X","Cancer Research"
"1474175X","Oncology"
"14741768","Cancer Research"
"14741768","Oncology"
"00928674","Biochemistry, Genetics and Molecular Biology"
"10974172","Biochemistry, Genetics and Molecular Biology"
"14741784","Drug Discovery"
"14741784","Medicine"
"14741784","Pharmacology"
"14741776","Drug Discovery"
"14741776","Medicine"
"14741776","Pharmacology"
"19447981","Economics and Econometrics"
"00028282","Economics and Econometrics"
"20588437","Biomaterials"
"20588437","Electronic, Optical and Magnetic Materials"
"20588437","Energy"
"20588437","Materials Chemistry"
"20588437","Surfaces, Coatings and Films"
"17594782","Oncology"
"17594774","Oncology"
"00284793","Medicine"
"15334406","Medicine"
"00221082","Accounting"
"00221082","Economics and Econometrics"
"00221082","Finance"
"15406261","Accounting"
"15406261","Economics and Econometrics"
"15406261","Finance"
"1546170X","Biochemistry, Genetics and Molecular Biology"
"1546170X","Medicine"
"10788956","Biochemistry, Genetics and Molecular Biology"
"10788956","Medicine"
"19343396","Biochemistry"
"19343396","Medicine"
"19343396","Structural Biology"
"1934340X","Biochemistry"
"1934340X","Medicine"
"1934340X","Structural Biology"
"23808942","Medicine"
"23808950","Medicine"
"00223808","Economics and Econometrics"
"1537534X","Economics and Econometrics"
"14764687","Multidisciplinary"
"00280836","Multidisciplinary"
"15461696","Applied Microbiology and Biotechnology"
"15461696","Bioengineering"
"15461696","Biomedical Engineering"
"15461696","Biotechnology"
"15461696","Molecular Medicine"
"10870156","Applied Microbiology and Biotechnology"
"10870156","Bioengineering"
"10870156","Biomedical Engineering"
"10870156","Biotechnology"
"10870156","Molecular Medicine"
"15206890","Chemistry"
"00092665","Chemistry"
"00129682","Economics and Econometrics"
"14680262","Economics and Econometrics"
"14657368","Accounting"
"14657368","Economics and Econometrics"
"14657368","Finance"
"08939454","Accounting"
"08939454","Economics and Econometrics"
"08939454","Finance"
"15356108","Cancer Research"
"15356108","Cell Biology"
"15356108","Oncology"
"18783686","Cancer Research"
"18783686","Cell Biology"
"18783686","Oncology"
"20587546","Electronic, Optical and Magnetic Materials"
"20587546","Energy Engineering and Power Technology"
"20587546","Fuel Technology"
"20587546","Renewable Energy, Sustainability and the Environment"
"10614036","Genetics"
"15461718","Genetics"
"00346861","Physics and Astronomy"
"15390756","Physics and Astronomy"
"14741741","Immunology"
"14741741","Immunology and Allergy"
"14741741","Medicine"
"14741733","Immunology"
"14741733","Immunology and Allergy"
"14741733","Medicine"
"1553877X","Electrical and Electronic Engineering"
"17238617","Psychiatry and Mental Health"
"15453278","Immunology"
"15453278","Immunology and Allergy"
"07320582","Immunology"
"07320582","Immunology and Allergy"
"15518922","Life-span and Life-course Studies"
"15518930","Life-span and Life-course Studies"
"15487091","Biochemistry"
"15487091","Biotechnology"
"15487091","Cell Biology"
"15487091","Molecular Biology"
