author_id,author_name,affiliation_full_name,city,affiliation,affiliation_id
56480346800,"Ainane, Ayoub"," Superior School of Technology of Khenifra (EST-Khenifra), University of Sultan Moulay Slimane, BP 170, Khenifra, 54000, Morocco",Khénifra,est,174
57214068561,"Hajji, Rafika","Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco",Rabat,,
57194679033,"Oulidi, Hassane"," Geomatic Sciences, EHTP, Casablanca, Morocco",Casablanca,,
56480346800,"Ainane, Ayoub"," Superior School of Technology of Khenifra (EST-Khenifra), University of Sultan Moulay Slimane, BP 170, Khenifra, 54000, Morocco",Khénifra,est,174
57218949418,"housse, Mohamed","Process Engineering Laboratory, Team “Materials and Physico-Chemistry of Water”, Faculty of Sciences, Ibn Zohr University, Agadir, Morocco",Agadir,faculty of sciences,91
35558665900,"Hadfi, Abdallah"," Team of Physical Chemistry and Environment, Faculty of Sciences, Ibn Zohr University, Agadir, Morocco",Agadir,faculty of sciences,91
57214226744,"Karmal, Ilham"," Faculty of Applied Sciences, Ibn Zohr University, Aït Melloul, Morocco",,,
57222246406,"Yamani, Siham","IAV Hasssan II, Rabat, Morocco",Rabat,,
57214068561,"Hajji, Rafika"," Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco",Rabat,,
57194599047,"Ezzariai, Amine","African Sustainable Agriculture Research Institute, Mohammed VI Polytechnic University, Laayoune, Morocco",Laayoune,,
6603925119,"Hafidi, Mohamed"," Laboratoire Biotechnologies Microbiennes, Agrosciences et Environnement (BioMagE), Unité de Recherche Labellisée, Faculty of Science Semlalia, Cadi Ayyad University, Marrakech, Morocco",Marrakech,faculty of science semlalia,23
57195483313,"Bakrim, Widad"," Agrobiosciences Department, Mohammed VI Polytechnic University, Benguérir, Morocco",,,
56233639600,"Li, Qiang"," Imed-Lab, Faculty of Sciences and Technology, Cadi Ayyad University (UCA), Abdelkarim Elkhattabi Avenue, Gueliz, P.O. Box 549, Marrakech, 40000, Morocco",Marrakech,faculty of sciences,23
37002608300,"Eddaoudi, Fatima","Université Sultan Moulay Slimane, Faculté Polydisciplinaire de Khouribga, B.P: 145-25000, Khouribga, Morocco",Khouribga,faculte polydisciplinaire,166
6504824325,"Mallouk, Siham"," Laboratoire de Chimie Appliquée des Matériaux, Centres des Sciences des Matériaux, Faculty of Sciences, Mohammed V University in Rabat, Avenue Ibn Battouta, BP 1014, Rabat, Morocco",Rabat,faculty of sciences,125
35409030400,"Farrouji, Amine"," Lycée qualifiant Zerktouni, BP 2390, Marrakech, 40140, Morocco",Marrakech,,
57219992605,"Aarab, Imane","Laboratory of Applied Chemistry and Biomass, Department of Chemistry & Development, Faculty of Sciences Semlalia-Marrakesh (FSSM), Cadi Ayyad University, Boulevard Prince My Abdellah, BP 2390, Marrakesh, 40000, Morocco",Marrakech,faculty of sciences semlalia,23
57216582536,"Derqaoui, Mohammed"," Laboratory of Georessources, Geoenvironment & Civil Engineering, Department of Earth Sciences, Faculty of Sciences and Technologies of Marrakesh (FSTM), Cadi Ayyad University, Boulevard Abdelkrim Al Khattabi, BP 549, Marrakesh, 40000, Morocco",Marrakech,faculty of sciences,23
7801498219,"Amari, Khalid"," Laboratory of Analysis of Geological Materials, Department of Geology and Sustainable Mining, Mohammed VI Polytechnic University, Lot 660, Hay Moulay Rachid, Benguerir, 43150, Morocco",,,
8640375700,"Fomba, Khanneh"," LS3MN3E-CERNE2D, Faculty of Science, Mohammed V University in Rabat, 4 Avenue Ibn Battouta, B.P. 1040, Rabat, 10100, Morocco",Rabat,faculty of science,125
57194679033,"Oulidi, Hassane","Geomatic Sciences, EHTP, Casablanca, Morocco",Casablanca,,
57214068561,"Hajji, Rafika"," Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco",Rabat,,
57209730287,"Boudad, L","Mohammed V University in Rabat, Laboratory of Physics and Chemistry of Inorganic and Organic Materials (LPCMIO), Materials Science Research Center (CSM), Ecole Normale Supérieure, Rabat, Morocco",Rabat,ecole normale superieure,132
7003906104,"Taibi, M"," Mohammed V University in Rabat, Faculty of Sciences, MANAPSE, Rabat, Morocco",Rabat,faculty of sciences,125
58726329800,"Ahmed, M"," Faculte des Sciences et Techniques, Abdelmalek Essaadi University, Tangier, Morocco",Tanger,faculte des sciences et techniques,9
57795229700,"Roy, Amit","The Global Phosphorus Institute, Morocco",,,
58104472800,"Moufid, Oumayma","EHTP, Casablanca, Morocco",Casablanca,,
57202156500,"Moulad, L","Hassan II University/ FSJES AC, Casablanca, Morocco",Casablanca,hassan 2 university,53
57214068561,"Hajji, Rafika","Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco",Rabat,,
57194679033,"Oulidi, Hassane"," Geomatic Sciences, EHTP, Casablanca, Morocco",Casablanca,,
56480346800,"Ainane, Ayoub"," Superior School of Technology of Khenifra (EST-Khenifra), University of Sultan Moulay Slimane, BP 170, Khenifra, 54000, Morocco",Khénifra,est,174
57203986182,"Laghzaoui, El","Laboratory of Water, Biodiversity and Climatic Change, Faculty of Sciences, Cadi Ayyad University, Semlalia, Marrakech, Morocco",Marrakech,faculty of sciences,23
6508271333,"Amahmid, Omar"," Department of Life and Earth Sciences, Biology and Geology Research Units, Regional Centre for Careers in Education and Training CRMEF-Marrakech, Marrakech, 40 000, Morocco",Marrakech,,
6506248688,"Abbad, Abdelaziz"," Laboratory of Microbial Biotechnologies, Agrosciences and Environment, Faculty of Sciences Semlalia, Cadi Ayyad University, Marrakech, Morocco",Marrakech,faculty of sciences semlalia,23
57215966020,"Maliari, M","Rsgis Lab, Remote Sensing Gis Unit, Tetuan, Morocco",Tétouan,,
57194346885,"Baba, Yousra","3ER Team, Department of Energy, Ecole Nationale Supérieure d'Arts et Métiers de Meknès, Moulay Ismail University, B.P. 15290 El Mansour, Meknès, Morocco",Meknès,moulay ismail university,137
14029854300,"Mers, Ahmed"," Materials Science, Energy and Nano-engineering department, Mohammed VI Polytechnic University, Lot 660-Hay Moulay Rachid, Ben Guerir, Morocco",,,
57203269638,"Allaouzi, I","LIST Faculty of Sciences and Techniques, Abdelmalek Essaadi University, Tangier, Morocco",Tanger,faculty of sciences and techniques,9
57193026840,"Benamrou, B"," MMC Faculty of Sciences and Techniques, Abdelmalek Essaadi University, Tangier, Morocco",Tanger,faculty of sciences and techniques,9
57397467600,"Allaouzi, A"," LISAC Faculty of Science Dhar El Mahraz, Sidi Mohamed Ben Abdellah University, Fez, Morocco",Fès,faculty of science dhar el mahraz,153
59212243100,"Frichi, Youness","Industrial Services and Technologies, High School of Technology, Sidi Mohamed Ben Abdellah University, Fez, 30 000, Morocco",Fès,sidi mohamed ben abdellah university,148
57203637644,"Kacem, Abderrahmane"," Laboratory of Innovative Technologies, Abdelmalek Essaadi University, Tangier, Morocco",Tanger,,
44861244000,"Jawab, Fouad"," Multidisciplinary Research and, Innovation Laboratory, EMSI, Casablanca, Morocco",Casablanca,,
57214068561,"Hajji, Rafika","Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco",Rabat,,
57194679033,"Oulidi, Hassane"," Geomatic Sciences, EHTP, Casablanca, Morocco",Casablanca,,
57214068561,"Hajji, Rafika","Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco",Rabat,,
57194679033,"Oulidi, Hassane"," Geomatic Sciences, EHTP, Casablanca, Morocco",Casablanca,,
57480413000,"Oumoussa, Abderrazzak","Sultan Moulay Slimane University, Morocco",,,
7005992502,"Shazly, Assem"," African Genome Center, Mohammed VI Polytechnic University (UM6P), Ben Guerir, Morocco",,,
55625732000,"Raey, Mohamed"," AgroBioSciences Research, Mohammed VI Polytechnic University, Ben-Guerir, Morocco",,,
57299159200,"Elkoua, I","Laboratory of Solid Physics, Faculty of Sciences Dhar El Mahraz, Sidi Mohamed Ben Abdellah University, BP 1796, Fez, Morocco",Fès,faculty of sciences dhar el mahraz,153
57218515733,"Guellaf, Achraf","Département de Biologie, Faculté des Sciences de Tétouan, Université Abdelmalek Essaâdi, Tétouan, Morocco",Tétouan,faculte des sciences,6
15025744600,"Bennas, Nard"," Faculté Polydisciplinaire de Taza, Université Mohamed Ben Abdellah, Fès, Morocco",Fès,,
57214068561,"Hajji, Rafika","Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco",Rabat,,
57194679033,"Oulidi, Hassane"," Geomatic Sciences, EHTP, Casablanca, Morocco",Casablanca,,
57214068561,"Hajji, Rafika","Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco",Rabat,,
57194679033,"Oulidi, Hassane"," Geomatic Sciences, EHTP, Casablanca, Morocco",Casablanca,,
23491681300,"Bouziani, M","School of Geomatic Sciences and Surveying Engineering, IAV Hassan II, Rabat, Morocco",Rabat,,
57397430900,"Amraoui, M"," AXIGEO, Cabinet Ouail Benkirane, Marrakech, Morocco",Marrakech,,
6506500946,"Haidine, A","Dept. Tri, National School of Applied Sciences, El Jadida, Morocco",El Jadida,national school of applied sciences,39
57197759202,"Allal, A"," Lab Ssdia, Ecole Normale Supérieure de l'Enseignement Technique, Mohammedia, Morocco",Mohammedia,ecole normale superieure de l'enseignement technique,70
57397456900,"Badri, H","National School of Business and Management (ENCG Fès), USMBA-Sidi Mohamed Ben Abdellah University, Fès, Morocco",Fès,encg,158
57210171671,"Hmioui, A"," Laboratory for Research and Studies in Management, Entrepreneurship and Finance (LAREMEF), USMBA-Sidi Mohamed Ben Abdellah University, Fès, Morocco",Fès,usmba,148
56480346800,"Ainane, Ayoub"," Superior School of Technology of Khenifra (EST-Khenifra), University of Sultan Moulay Slimane, BP 170, Khenifra, 54000, Morocco",Khénifra,est,174
55991076200,"Mrabet, Rachid","Institut National de la Recherche Agronomique (INRA), Rabat, Morocco",Rabat,,
44461858700,"Moussadek, Rachid"," International Centre for Agricultural Research in the Dry Areas (ICARDA), Institut National de la Recherche Agronomique (INRA), Rabat, Morocco",Rabat,,
55613341400,"Devkota, Mina"," International Centre for Agricultural Research in the Dry Areas (ICARDA), Rabat, Morocco",Rabat,,
56480346800,"Ainane, Ayoub"," Superior School of Technology of Khenifra (EST-Khenifra), University of Sultan Moulay Slimane, BP 170, Khenifra, 54000, Morocco",Khénifra,est,174
57218116578,"Ballouch, Zouhair","IAV Hasssan II, Rabat, Morocco",Rabat,,
