author_id,author_name,affiliation_full_name,country
23004567900,"Khachane, M","Laboratoire de Chimie du Solide Minéral, département de chimie, Faculté des Sciences Semlalia, Marrakech, Morocco",morocco
6701835701,"Villain, S"," Laboratoire de physique du Solide et couches minces, département de physique, Faculté des Sciences Semlalia, Marrakech, Morocco",morocco
12782205700,"Mjahed, Mostafa","Ecole Royale de l'Air, Maths and Systems Dept., 40000 Marrakech, Morocco",morocco
56698346700,"Sáenz, L"," Departement de Biologie, Université Ibn Tofaïl, 1400 Kénitra, Morocco",morocco
56615820600,"Bahi, S","Mohammed v University, Faculty of Sciences, Rabat, Morocco",morocco
6603659312,"Wartiti, M"," Center of Forest Research, Rabat-Agdal, BP, Morocco",morocco
6603090492,"Dzahini, D"," CNESTEN, 10001 Rabat, BP 1382RP, Morocco",morocco
56145455500,"Lahcen, Daoudi","Département des Sciences de la Terre, Marrakech, B.P. 549, Morocco",morocco
55860914600,"Brahim, Ouajhain"," Département de Géologie, Université Chouaib Doukkali, El Jadida, Morocco",morocco
55861329700,"Fida, Medina"," Département de Géologie, Institut Scientifique, Université Mohamed V, Rabat, Morocco",morocco
15724539900,"Chabab, Mohamed","Physics Department, Faculty of Sciences, Semlalia Cadi-Ayyad University, Marrakech 40000, P.O. Box 2390, Morocco",morocco
53663314300,"Bendoau, O","Mechanical Department, Mohammadia School of Engineers, Rabat-Agdal, Morocco",morocco
7003860727,"Tadeo, F"," Research Unit: Constrained and Robust Regulation, Department of Physics, Faculty of Science Semlalia, Marrakech, P.B 2390, Morocco",morocco
24821605000,"Mehdi, Ismaili","Faculty of Sciences, University Mohamed V, Rabat Agdal, Morocco",morocco
24821873400,"Elhassane, Ibn"," National Institute of Post and Telecommunications (INPT), Rabat, Morocco",morocco
46761284700,"Makrizi, A","Faculty of Sciences Ben m'Sik, Casablanca, Morocco",morocco
6603494020,"Radi, B"," Faculty of Sciences and Technology, Errachidia, Morocco",morocco
