id,Affiliation,Abbreviation,University,City,Affiliation En Name
1,Université Abdelmalek Essaadi,UAE,Université Abdelmalek Essaadi,Tétouan,Abdelmalek Essaadi University
2,Faculté Oussoul Eddine ,FOE ,Université Abdelmalek Essaadi,Tétouan,Faculty of Fundamentals of Religion
3,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Abdelmalek Essaadi,Tanger,"Faculty of Legal, Economic and Social Sciences"
4,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Abdelmalek Essaadi,Tétouan,"Faculty of Legal, Economic and Social Sciences"
5,Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Abdelmalek Essaadi,Tétouan,Faculty of Letters and Humanities
6,Faculté des Sciences ,FS ,Université Abdelmalek Essaadi,Tétouan,Faculty of Sciences
7,Faculté Polydisciplinaire ,FP ,Université Abdelmalek Essaadi,Larache,Multidisciplinary Faculty
8,Faculté Polydisciplinaire ,FP ,Université Abdelmalek Essaadi,Kssar El Kébir,Multidisciplinary Faculty
9,Faculté des Sciences et Techniques ,FST ,Université Abdelmalek Essaadi,Tanger,Faculty of Sciences and Techniques
10,Faculté des Sciences et Techniques ,FST ,Université Abdelmalek Essaadi,Al Hoceima,Faculty of Sciences and Techniques
11,Faculté de Médecine et Pharmacie ,FMP ,Université Abdelmalek Essaadi,Tanger,Faculté de Médecine et Pharmacie
12,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Abdelmalek Essaadi,Tanger,National School of Applied Sciences
13,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Abdelmalek Essaadi,Tétouan,National School of Applied Sciences
14,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Abdelmalek Essaadi,Al Hoceima,National School of Applied Sciences
15,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Abdelmalek Essaadi,Tanger,National School of Commerce and Management
16,Ecole Normale Supérieure ,ENS ,Université Abdelmalek Essaadi,Tétouan,Higher Normal School
17,Ecole Supérieure Roi Fahd de Traduction ,ESRFT ,Université Abdelmalek Essaadi,Tanger,King Fahd Higher School of Translation
18,Université Cadi Ayyad,UCA,Université Cadi Ayyad, Marrakech,Cadi Ayyad University
19,Faculté de la Langue Arabe ,FLA ,Université Cadi Ayyad,Marrakech,Faculty of Arabic Language
20,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Cadi Ayyad,Marrakech,"Faculty of Legal, Economic and Social Sciences"
21,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Cadi Ayyad,EL Kelaâ des Sraghna,"Faculty of Legal, Economic and Social Sciences"
22,Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Cadi Ayyad,Marrakech,Faculty of Letters and Humanities
23,Faculté des Sciences Semlalia ,FS Semlalia ,Université Cadi Ayyad,Marrakech,Faculté des Sciences Semlalia
24,Faculté Polydisciplinaire ,FP ,Université Cadi Ayyad,Safi,Multidisciplinary Faculty
25,Faculté des Sciences et Techniques Guéliz ,FST Guéliz ,Université Cadi Ayyad,Marrakech,Faculté des Sciences et Techniques Guéliz
26,Faculté de Médecine et de Pharmacie ,FMP ,Université Cadi Ayyad,Marrakech,Faculty of Medicine and Pharmacy
27,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Cadi Ayyad,Marrakech,National School of Applied Sciences
28,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Cadi Ayyad,Safi,National School of Applied Sciences
29,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Cadi Ayyad,Marrakech,National School of Commerce and Management
30,Ecole Normale Supérieure ,ENS ,Université Cadi Ayyad,Marrakech,Higher Normal School
31,Ecole Supérieure de Technologie ,EST ,Université Cadi Ayyad,Safi,Higher School of Technology
32,Ecole Supérieure de Technologie ,EST ,Université Cadi Ayyad,Essaouira,Higher School of Technology
33,Ecole Supérieure de Technologie ,EST ,Université Cadi Ayyad,EL Kelaâ des Sraghna,Higher School of Technology
34,Université Chouaib Doukkali,UCD,Université Chouaib Doukkali,El Jadida,Chouaib Doukkali University
35,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Chouaib Doukkali,El Jadida,"Faculty of Legal, Economic and Social Sciences"
36,Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Chouaib Doukkali,El Jadida,Faculty of Letters and Humanities
37,Faculté des Sciences ,FS ,Université Chouaib Doukkali,El Jadida,Faculty of Sciences
38,Faculté Polydisciplinaire ,FP ,Université Chouaib Doukkali,Sidi Bennour,Multidisciplinary Faculty
39,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Chouaib Doukkali,El Jadida,National School of Applied Sciences
40,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Chouaib Doukkali,El Jadida,National School of Commerce and Management
41,Ecole Supérieure de l'Education et de la Formation ,ESEF ,Université Chouaib Doukkali,El Jadida,Higher School of Education and Training
42,Ecole Supérieure de Technologie ,EST ,Université Chouaib Doukkali,Sidi Bennour,Higher School of Technology
43,Université Hassan 1er,UH1,Université Hassan 1er,Settat,Hassan 1st University
44,Faculté des Sciences Juridiques et Politiques ,FSJP ,Université Hassan 1er,Settat,Faculty of Juridical and Political Sciences
45,Faculté d'Economie et de Gestion ,FEG ,Université Hassan 1er,Settat,Faculty of Economics and Management
